# alias,canonical
Edelman,Edelman
Toyota of Smithfield,Toyota of Smithfield
Smithfield Cattle Co.,Smithfield Cattle Company
Walmart Inc,Walmart
JPMorgan,JPMorgan Chase
# alias,canonical (bio/synbio/fermentation/nutrition/dairy/animal feed/global)
Ginkgo, Ginkgo Bioworks
Ginkgo Bioworks, Ginkgo Bioworks
Zymergen, Zymergen
Perfect Day, Perfect Day
Impossible Foods, Impossible Foods
Beyond Meat, Beyond Meat
Motif FoodWorks, Motif FoodWorks
Novozymes, Novonesis
Chr. Hansen, Novonesis
Chr Hansen, Novonesis
DSM, dsm-firmenich
dsm-firmenich, dsm-firmenich
DuPont, DuPont
IFF, IFF
Ajinomoto, Ajinomoto
ADM, Archer Daniels Midland
Archer Daniels Midland, Archer Daniels Midland
Cargill, Cargill
Kerry, Kerry Group
Danone, Danone
Nestle, Nestlé
Nestlé, Nestlé
Fonterra, Fonterra
Saputo, Saputo
Lactalis, Lactalis
Arla, Arla Foods
Arla Foods, Arla Foods
Evonik, Evonik
BASF, BASF
Bayer, Bayer
Lonza, Lonza
Thermo Fisher, Thermo Fisher Scientific
Illumina, Illumina
Moderna, Moderna
Pfizer, Pfizer
Genentech, Genentech
Amgen, Amgen
Biogen, Biogen
Merck, Merck
Sanofi, Sanofi
Roche, Roche
Takeda, Takeda
Astellas, Astellas Pharma
Daiichi Sankyo, Daiichi Sankyo
Otsuka, Otsuka
Meiji, Meiji
Morinaga, Morinaga
Yakult, Yakult
Lallemand, Lallemand
Alltech, Alltech
Nutreco, Nutreco
Purina, Nestlé Purina
Land O'Lakes, Land O'Lakes
Elanco, Elanco
Zoetis, Zoetis
Boehringer Ingelheim Animal Health, Boehringer Ingelheim Animal Health
BioMar, BioMar
Skretting, Skretting
Culture Biosciences, Culture Biosciences
Solugen, Solugen
Amyris, Amyris
Bolt Threads, Bolt Threads
Calysta, Calysta
Calypso Biotech, Calypso Biotech
Impossible Foods Inc., Impossible Foods
Ginkgo Bioworks Holdings, Ginkgo Bioworks
Novonesis, Novonesis
# more aliases (synbio/fermentation/animal nutrition/dairy/global pharma)
SynBioBeta,SynBioBeta
The EVERY Company,The EVERY Company
Clara Foods,The EVERY Company
New Culture,New Culture
Formo,Formo
Remilk,Remilk
Imagindairy,Imagindairy
Onego Bio,Onego Bio
Change Foods,Change Foods
Helaina,Helaina
TurtleTree,TurtleTree
Nature's Fynd,Nature's Fynd
Solar Foods,Solar Foods
Meati,Meati
MycoTechnology,MycoTechnology
Motif, Motif FoodWorks
Kemin,Kemin
Adisseo,Adisseo
Novus,Novus
Sartorius,Sartorius
Cytiva,Cytiva
Eppendorf,Eppendorf
GE Healthcare Life Sciences,Cytiva
CRISPR Therapeutics,CRISPR Therapeutics
Editas Medicine,Editas Medicine
Intellia Therapeutics,Intellia Therapeutics
Beam Therapeutics,Beam Therapeutics
Sangamo Therapeutics,Sangamo Therapeutics
Nestle Health Science,Nestlé Health Science
DSM Nutritional Products,dsm-firmenich
CJ CheilJedang,CJ CheilJedang
Mengniu,China Mengniu Dairy
Yili,Inner Mongolia Yili Industrial Group
Bright Dairy,Bright Dairy & Food
A2 Milk,The a2 Milk Company
Tate & Lyle,Tate & Lyle
Givaudan,Givaudan
Symrise,Symrise
Firmenich,dsm-firmenich
IFF Health,IFF
IFF Nourish,IFF
